,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[19579],-1.19575,0.000122351,0.00624338,0.00635405,-1.2061,-1.19565,-1.18565,2657.79,2943.64,4.93893,1.00022
log_lik[19580],-0.23859,0.000113105,0.00727125,0.00706475,-0.250723,-0.23844,-0.226672,4175.51,2829.69,7.75929,1.00016
log_lik[19581],-1.26954,0.000120845,0.00615438,0.00626791,-1.27974,-1.26947,-1.2596,2649.2,2943.02,4.92296,1.00022
log_lik[19582],-1.12212,0.000123732,0.0063295,0.00643144,-1.1326,-1.12204,-1.11193,2670.4,2990.36,4.96237,1.00027
log_lik[19583],-1.39215,0.000181637,0.00920712,0.00936358,-1.40719,-1.39224,-1.37697,2617.58,3014.15,4.8642,1.00023
log_lik[19584],-2.52584,0.000105061,0.00516589,0.00510274,-2.53468,-2.52579,-2.51754,2454.87,2733.54,4.56184,1.00107
log_lik[19585],-0.517417,0.000122651,0.00754615,0.00735563,-0.529731,-0.517539,-0.504792,3822.45,3033.58,7.10321,1.00014
log_lik[19586],-1.19575,0.000122351,0.00624338,0.00635405,-1.2061,-1.19565,-1.18565,2657.79,2943.64,4.93893,1.00022
log_lik[19587],-1.46793,0.000184652,0.00933399,0.0094753,-1.48313,-1.46801,-1.45257,2603.88,3038.29,4.83874,1.00024
log_lik[19588],-2.30959,9.4596e-05,0.00478256,0.00484343,-2.3176,-2.30948,-2.30191,2616.09,2989.05,4.86143,1.00024
log_lik[19589],-0.964832,0.000155764,0.00776067,0.00764241,-0.977837,-0.96488,-0.952129,2517.31,2734.57,4.67788,1.00121
log_lik[19590],-1.12212,0.000123732,0.0063295,0.00643144,-1.1326,-1.12204,-1.11193,2670.4,2990.36,4.96237,1.00027
log_lik[19591],-1.12212,0.000123732,0.0063295,0.00643144,-1.1326,-1.12204,-1.11193,2670.4,2990.36,4.96237,1.00027
log_lik[19592],-1.46793,0.000184652,0.00933399,0.0094753,-1.48313,-1.46801,-1.45257,2603.88,3038.29,4.83874,1.00024
