,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
z_beta[16],-0.218524,1.00228,1.45506,1.99207,-1.95241,-0.608701,1.95588,4.67927,4000.0,0.00974969,2.70678
z_beta[17],0.226759,0.640972,0.997484,0.585004,-1.29154,0.587472,1.51681,5.90871,4000.0,0.0123113,2.45438
z_beta[18],-0.0330678,0.520671,0.890895,0.933994,-1.11671,-0.283956,1.27046,5.12642,4000.0,0.0106814,2.23189
z_beta[19],0.549841,0.661785,1.08336,0.987354,-0.904497,0.0837949,1.97888,5.07204,4000.0,0.010568,2.25954
z_beta[20],0.122358,0.201521,0.673591,0.875267,-0.964883,0.241113,1.36999,5.85817,4000.0,0.012206,1.90887
z_beta[21],0.30176,0.576419,0.906419,0.798234,-0.747053,-0.208654,1.68238,5.52947,4000.0,0.0115212,2.06967
z_beta[22],0.527961,0.422785,0.777516,0.482198,-1.00694,0.846415,1.26713,5.47598,4000.0,0.0114097,2.24583
z_a[1],-0.632963,0.462512,0.864396,0.901308,-1.61932,-0.628099,1.28875,5.18223,4000.0,0.0107976,2.16201
z_a[2],0.0312198,0.376448,0.7481,0.911564,-0.829038,0.0889353,0.891114,9.0891,4000.0,0.0189379,1.6296
z_a[3],0.251697,0.34243,0.7734,0.468759,-1.47771,0.389978,1.23893,6.78385,4000.0,0.0141348,1.60797
z_a[4],-0.621544,0.480992,0.817841,1.09465,-1.66937,-0.664927,0.637889,5.42172,4000.0,0.0112966,2.04102
z_a[5],-0.961777,0.887285,1.3895,0.069364,-1.96276,-1.82626,1.96017,4.88852,4000.0,0.0101857,2.85206
z_a[6],0.713211,0.471929,0.848358,1.27354,-0.874215,1.07166,1.9826,6.03955,4000.0,0.012584,1.95907
z_a[7],0.377446,0.474624,0.820333,0.775866,-0.50077,0.132559,1.41553,5.88826,4000.0,0.0122687,1.83371
z_a[8],-0.0824449,0.59673,0.995964,0.824426,-1.85803,-0.26923,1.76732,4.85052,4000.0,0.0101065,2.70714
z_a[9],0.805968,0.510409,0.810601,0.922645,-0.773838,0.470555,1.74955,5.30084,4000.0,0.0110448,2.1657
z_a[10],-0.0372244,0.168825,0.620389,0.512142,-0.773164,-0.0271558,1.49109,7.32867,4000.0,0.0152699,1.69634
z_a[11],0.211709,0.933064,1.40645,1.20076,-1.7097,0.76597,1.7218,5.15285,4000.0,0.0107364,2.18147
z_a[12],-0.598969,0.52466,0.827392,0.980032,-1.5516,-0.465408,0.73532,5.02319,4000.0,0.0104663,2.28647
z_a[13],0.506374,0.75092,1.23083,1.22725,-0.627501,0.200333,3.13668,5.61656,4000.0,0.0117026,2.43146
z_a[14],-0.431365,0.775087,1.22375,1.02867,-1.96789,-0.69167,2.13116,4.64534,4000.0,0.00967898,2.75727
z_a[15],-0.0832485,0.196015,0.683337,0.748987,-1.13132,-0.20057,0.964423,5.5294,4000.0,0.011521,1.98088
z_a[16],-0.0622248,0.930304,1.409,2.44818,-1.92758,-0.0557991,1.59555,4.68206,4000.0,0.00975549,2.70139
z_a[17],0.538663,0.549116,0.954249,0.707308,-1.32496,0.466495,1.73551,4.92911,4000.0,0.0102702,2.64252
z_a[18],-0.054035,0.555,0.873809,1.07894,-1.2691,-0.0768863,1.41559,5.43139,4000.0,0.0113168,2.00034
z_a[19],-0.426112,0.504013,0.833495,1.16662,-1.40677,-0.581018,0.579158,6.7361,4000.0,0.0140353,1.61615
z_a[20],-0.346621,0.405162,0.852392,0.0358056,-1.40654,-0.701207,1.35001,7.53828,4000.0,0.0157067,2.44171
z_a[21],-0.353546,0.425311,1.08001,1.10567,-2.62131,-0.151245,1.50281,6.29757,4000.0,0.0131215,1.71423
z_a[22],-0.0964525,0.533113,1.12905,1.41989,-1.68824,-0.437666,1.9304,5.34832,4000.0,0.0111437,2.35964
z_t[1],-0.142232,0.615136,0.889813,1.53289,-1.43616,-0.0372218,0.996763,4.50317,4000.0,0.00938276,3.09852
z_t[2],-0.0157631,0.88851,1.32541,1.72051,-2.06947,-0.486665,1.77621,4.85787,4000.0,0.0101218,3.13728
z_t[3],0.490503,1.0969,1.56491,1.80508,-1.18203,0.0354668,2.54483,4.60875,4000.0,0.00960273,2.85709
z_t[4],-0.972805,0.480953,0.808964,0.897162,-2.12925,-1.12643,0.718826,4.648,4000.0,0.00968453,2.77849
z_t[5],-0.850788,0.539117,0.853466,0.678834,-1.78506,-1.32718,0.562874,4.92972,4000.0,0.0102715,2.40389
z_t[6],-0.85357,0.518999,0.838939,0.613183,-1.7285,-1.00761,1.05475,4.62074,4000.0,0.00962773,2.83797
z_t[7],-0.126373,0.786308,1.1322,1.01103,-1.46079,-0.209556,1.65238,4.52595,4000.0,0.00943023,3.00775
z_t[8],0.767714,0.404396,0.725034,0.294883,-0.659853,1.01822,1.64557,5.08317,4000.0,0.0105912,2.61672
z_t[9],-0.067164,0.29764,0.581853,0.366574,-0.768755,0.110174,0.75649,6.73956,4000.0,0.0140425,1.89538
z_t[10],-0.424436,0.538137,0.879955,0.193037,-1.19763,-1.06744,1.17036,4.98901,4000.0,0.010395,2.41826
z_t[11],0.407023,0.416961,0.668165,0.817918,-0.56444,0.661656,1.21334,5.989,4000.0,0.0124786,2.10241
z_t[12],0.502719,0.826235,1.35737,1.24234,-1.35413,0.830092,2.72917,4.69173,4000.0,0.00977564,2.72635
z_t[13],0.131705,0.77736,1.12924,1.53997,-1.32372,-0.484041,1.77158,5.00032,4000.0,0.0104186,2.35574
z_t[14],-0.50925,0.847205,1.24757,0.281655,-1.59016,-1.40019,1.53872,5.18854,4000.0,0.0108108,2.80604
z_t[15],-0.169527,0.71443,1.07858,0.307725,-1.16336,-0.823104,1.50914,5.25202,4000.0,0.0109431,2.59188
z_t[16],-0.420796,0.360452,0.72365,0.155835,-1.60571,-0.517635,1.11908,6.82235,4000.0,0.014215,2.36629
z_t[17],-0.376512,0.687714,1.04156,1.07759,-1.62893,-0.72349,1.1128,4.73546,4000.0,0.00986675,2.62611
z_t[18],0.700983,0.538939,0.872947,0.728054,-0.559896,0.287039,1.90712,5.39414,4000.0,0.0112392,2.02054
z_t[19],0.0511896,0.676805,0.977196,1.22799,-1.64951,0.323249,1.2188,4.486,4000.0,0.00934698,3.42905
z_t[20],-0.230472,0.899113,1.28818,0.429602,-1.43863,-0.851303,1.93713,5.03393,4000.0,0.0104886,2.26339
z_t[21],-0.00442089,0.595862,0.975025,0.693678,-1.27235,0.32465,1.30702,5.33155,4000.0,0.0111088,2.09765
z_t[22],1.18671,0.307188,0.470768,0.662909,0.579385,1.15689,1.69544,5.64882,4000.0,0.0117698,1.89571
v_easy[1],3.76451,3.63149,5.22473,6.44626,-4.13436,5.46593,9.81215,4.41538,4000.0,0.00919984,3.34564
v_easy[2],-1.26839,1.27388,1.93691,2.2228,-3.90667,-0.812264,0.687096,5.36723,4000.0,0.0111831,2.04108
v_easy[3],3.02076,1.97732,2.95256,4.90843,-1.08447,3.62972,7.27977,4.66755,4000.0,0.00972526,2.68976
v_easy[4],0.360338,1.22692,2.25579,2.25681,-3.23843,0.400837,2.921,5.80751,4000.0,0.0121005,1.88262
v_easy[5],3.35259,2.67943,4.10395,6.23346,-3.0883,4.48139,9.02721,4.73492,4000.0,0.00986563,2.63537
v_easy[6],1.91256,2.85803,4.08831,3.59205,-2.86654,1.31447,8.69255,4.63794,4000.0,0.00966355,3.22557
v_easy[7],4.32322,2.58767,3.80857,5.8669,-1.03502,5.51746,9.59994,4.53335,4000.0,0.00944564,2.98878
v_easy[8],-1.3006,1.09571,1.68737,0.981656,-3.8359,-0.664362,0.601515,5.52547,4000.0,0.0115128,1.97875
v_easy[9],-0.288502,1.58227,2.34526,2.2218,-2.89075,-0.877866,3.32505,5.01235,4000.0,0.0104437,2.30618
v_easy[10],2.7031,2.9263,4.22107,3.84492,-4.34266,4.45069,7.04394,4.37271,4000.0,0.00911093,3.55052
v_easy[11],-2.77489,1.80587,2.75192,3.78224,-6.37422,-3.68984,1.71718,4.60867,4000.0,0.00960257,2.88528
v_easy[12],0.170842,1.54111,2.23826,1.75855,-2.52124,-1.01565,3.61419,4.47282,4000.0,0.00931953,3.20351
v_easy[13],3.23778,2.37976,3.48701,3.1221,-1.18999,2.77831,8.89762,5.20586,4000.0,0.0108469,2.58288
v_easy[14],2.64461,2.04156,3.04792,2.7706,-2.00911,2.74,7.20634,4.6961,4000.0,0.00978474,2.72335
v_easy[15],-0.459201,0.868082,1.44746,1.64399,-3.16003,-0.53859,1.03882,5.60563,4000.0,0.0116798,1.95139
v_easy[16],2.53734,2.60277,3.75697,2.8312,-1.77308,1.79259,8.77726,4.76472,4000.0,0.00992772,3.10262
v_easy[17],4.02666,3.21433,4.6038,6.75579,-2.08161,5.05711,9.72818,4.59531,4000.0,0.00957474,2.85407
v_easy[18],0.407482,2.02449,2.97152,2.03844,-2.95609,-0.485398,5.22069,4.59856,4000.0,0.0095815,2.8653
v_easy[19],0.128799,3.29157,4.8624,8.56361,-6.1237,-0.0886061,6.98128,4.35086,4000.0,0.0090654,3.67533
